legacy_source,planned_disposition,notes
editions/alpha/2-appendices/2-4-bibliography.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/2-appendices/README.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/3-reference-materials.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/3-reference-materials/3-1-preimplementation-checklist.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/3-reference-materials/3-2-quick-start-guide.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/3-reference-materials/3-3-integration-cheat-sheet.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/3-reference-materials/3-4-troubleshooting-guide.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/3-reference-materials/README.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/4-scripts.rst.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/5-visual-resources.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/5-visual-resources/5-1-diagrams.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/5-visual-resources/5-2-screenshots.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/5-visual-resources/5-3-videos.rst.txt,preserved-exact-live-source,Final evidence written by audit_rc3.py
editions/alpha/5-visual-resources/5-4-graphics.rst.txt,preserved-exact-live-source,Final evidence written by audit_rc3.py
editions/alpha/5-visual-resources/5-5-icons.rst.txt,preserved-exact-live-source,Final evidence written by audit_rc3.py
editions/alpha/5-visual-resources/README.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/6-document-templates.rst.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/index.md.txt,stable-route+richer-landing,Final evidence written by audit_rc3.py
filenaming-conventions.md.txt,preserved+extended,Final evidence written by audit_rc3.py
index.md.txt,stable-route+richer-landing,Final evidence written by audit_rc3.py
license.md.txt,preserved+extended,Final evidence written by audit_rc3.py
media-kit.rst.txt,preserved-exact-live-source,Final evidence written by audit_rc3.py
publishing.md.txt,preserved+extended,Final evidence written by audit_rc3.py
recent-press.md.txt,preserved+extended,Final evidence written by audit_rc3.py
style-notes.md.txt,preserved+extended,Final evidence written by audit_rc3.py
