legacy_source,outgoing_source,legacy_route,disposition,headings_missing,substantive_blocks_missing,media_refs_missing,classes_missing,styles_missing
editions/alpha/3-reference-materials/3-4-troubleshooting-guide.md.txt,editions/alpha/3-reference-materials/3-4-troubleshooting-guide.md,editions/alpha/3-reference-materials/3-4-troubleshooting-guide.html,preserved+extended,0,0,0,0,0
editions/alpha/3-reference-materials/README.md.txt,editions/alpha/3-reference-materials/README.md,editions/alpha/3-reference-materials/README.html,preserved+extended,0,0,0,0,0
editions/alpha/4-scripts.rst.txt,editions/alpha/4-scripts.rst,editions/alpha/4-scripts.html,preserved+extended,0,0,0,0,0
editions/alpha/5-visual-resources.md.txt,editions/alpha/5-visual-resources.md,editions/alpha/5-visual-resources.html,preserved+extended,0,0,0,0,0
editions/alpha/5-visual-resources/5-1-diagrams.md.txt,editions/alpha/5-visual-resources/5-1-diagrams.md,editions/alpha/5-visual-resources/5-1-diagrams.html,preserved+extended,0,0,0,0,0
editions/alpha/5-visual-resources/5-2-screenshots.md.txt,editions/alpha/5-visual-resources/5-2-screenshots.md,editions/alpha/5-visual-resources/5-2-screenshots.html,preserved+extended,0,0,0,0,0
editions/alpha/5-visual-resources/5-3-videos.rst.txt,editions/alpha/5-visual-resources/5-3-videos.rst,editions/alpha/5-visual-resources/5-3-videos.html,preserved-exact-live-source,0,0,0,0,0
editions/alpha/5-visual-resources/5-4-graphics.rst.txt,editions/alpha/5-visual-resources/5-4-graphics.rst,editions/alpha/5-visual-resources/5-4-graphics.html,preserved-exact-live-source,0,0,0,0,0
editions/alpha/5-visual-resources/5-5-icons.rst.txt,editions/alpha/5-visual-resources/5-5-icons.rst,editions/alpha/5-visual-resources/5-5-icons.html,preserved-exact-live-source,0,0,0,0,0
editions/alpha/5-visual-resources/README.md.txt,editions/alpha/5-visual-resources/README.md,editions/alpha/5-visual-resources/README.html,preserved+extended,0,0,0,0,0
editions/alpha/6-document-templates.rst.txt,editions/alpha/6-document-templates.rst,editions/alpha/6-document-templates.html,preserved+extended,0,0,0,0,0
editions/alpha/index.md.txt,editions/alpha/index.md,editions/alpha/index.html,stable-route+richer-landing,0,0,0,0,0
filenaming-conventions.md.txt,filenaming-conventions.md,filenaming-conventions.html,preserved+extended,0,0,0,0,0
index.md.txt,index.md,index.html,stable-route+richer-landing,0,0,0,0,0
license.md.txt,license.md,license.html,preserved+extended,0,0,0,0,0
media-kit.rst.txt,media-kit.rst,media-kit.html,preserved-exact-live-source,0,0,0,0,0
publishing.md.txt,publishing.md,publishing.html,preserved+extended,0,0,0,0,0
recent-press.md.txt,recent-press.md,recent-press.html,preserved+extended,0,0,0,0,0
style-notes.md.txt,style-notes.md,style-notes.html,preserved+extended,0,0,0,0,0
